target,subgroup,N,R2,MAE
mean_sleep_hrs,Female,35524,0.10759161998501521,0.5226653901779064
mean_sleep_hrs,Male,17224,0.11355019551676293,0.5409550335204082
mean_sleep_hrs,UBR,11695,0.0751326266043496,0.5342254373794387
mean_sleep_hrs,White,37879,0.12548109198505453,0.528972098530986
mean_sleep_hrs,Age 18-40,10431,0.18705089365243488,0.4714760912270901
mean_sleep_hrs,Age 41-60,18353,0.12997661798250248,0.5184583625700465
mean_sleep_hrs,Age 61-80,22409,0.10930447133769583,0.5558920055227309
mean_sleep_hrs,Age 80+,2776,0.1139753376014111,0.5768056905054065
iqr_sleep_hrs,Female,35524,0.21579015550826697,0.4071364763859153
iqr_sleep_hrs,Male,17224,0.20102310729184936,0.40439465461285984
iqr_sleep_hrs,UBR,11695,0.17148214384938365,0.41203442657512884
iqr_sleep_hrs,White,37879,0.2351510341271339,0.4037069479004473
iqr_sleep_hrs,Age 18-40,10431,0.16974525848368893,0.4447219977616447
iqr_sleep_hrs,Age 41-60,18353,0.19902352770326281,0.4187047513967354
iqr_sleep_hrs,Age 61-80,22409,0.21710071095341832,0.3814834267907646
iqr_sleep_hrs,Age 80+,2776,0.21123865519661977,0.3920061639997316
